,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_activation_l3,params_activation_l4,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
28,28,0.0011576496763154864,2023-11-07 17:28:46.282513,2023-11-07 17:28:46.938113,0 days 00:00:00.655600,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.0031227805589912135,5,11,11.0,9.0,16.0,24.0,COMPLETE
29,29,0.002567007439211011,2023-11-07 17:28:46.938954,2023-11-07 17:28:47.650409,0 days 00:00:00.711455,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.0024437381775131127,5,9,24.0,22.0,11.0,25.0,COMPLETE
30,30,0.00553885055705905,2023-11-07 17:28:47.651213,2023-11-07 17:28:48.568621,0 days 00:00:00.917408,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.0013099864737775781,5,95,29.0,8.0,24.0,22.0,COMPLETE
31,31,0.041107818484306335,2023-11-07 17:28:48.569389,2023-11-07 17:28:49.085393,0 days 00:00:00.516004,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.006558023327427118,4,25,9.0,29.0,1.0,,COMPLETE
32,32,0.00128505052998662,2023-11-07 17:28:49.086207,2023-11-07 17:28:49.968729,0 days 00:00:00.882522,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.01340222525991353,5,12,17.0,23.0,31.0,67.0,COMPLETE
33,33,0.0011038064258173108,2023-11-07 17:28:49.969697,2023-11-07 17:28:50.643333,0 days 00:00:00.673636,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.004302797673381878,4,31,33.0,37.0,17.0,,COMPLETE
34,34,0.0012339249951764941,2023-11-07 17:28:50.644190,2023-11-07 17:28:51.353855,0 days 00:00:00.709665,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.0021834562866486183,5,20,33.0,17.0,17.0,17.0,COMPLETE
35,35,0.0010805574711412191,2023-11-07 17:28:51.354685,2023-11-07 17:28:52.010217,0 days 00:00:00.655532,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.004033118273591746,4,31,22.0,36.0,12.0,,COMPLETE
36,36,0.01179322600364685,2023-11-07 17:28:52.011037,2023-11-07 17:28:52.624948,0 days 00:00:00.613911,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,,0.0009129358070381645,3,30,21.0,60.0,,,COMPLETE
37,37,0.011918116360902786,2023-11-07 17:28:52.625842,2023-11-07 17:28:53.299273,0 days 00:00:00.673431,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.0037417077747414493,5,42,9.0,52.0,10.0,2.0,COMPLETE
